gene_symbol,high_impact,therapeutic,targeted_drug,avoid_ineffective_therapy,supportive_dietary,extrarenal_surveillance,transplant_donor,rationale,knoers_table,knoers_utility_text,notes,in_simulation,needs_review,disease_groups
ALMS1,1,0,0,0,0,1,0,"Alstrom: retinal dystrophy, cardiomyopathy, diabetes, hearing loss surveillance",S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; Alstrom extrarenal features well-established,TRUE,FALSE,Ciliopathies
AMPD2,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
ANKFY1,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
ANKS6,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
ANLN,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
ANOS1,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
AP2S1,1,1,0,1,0,0,0,auto-assigned by keyword matching,S2,Differential diagnosis with Hyperparathyroidism (avoid unnecessary surgery),,FALSE,FALSE,Tubulopathies
APOA1,1,1,0,1,0,0,0,ApoAI hereditary amyloidosis: molecular diagnosis avoids AL-amyloid chemotherapy regimens which are ineffective in hereditary amyloidosis,,,Extension gene; molecular diagnosis changes management (no chemotherapy),TRUE,FALSE,
APOL1,0,0,0,0,0,0,0,"APOL1 risk variants (G1/G2) are common population variants, not rare monogenic causes; no gene-specific therapy",S1,,"Common risk alleles, not P/LP monogenic variants; IS response variable; no gene-specific intervention meets threshold",TRUE,FALSE,Glomerulopathies
APRT,1,1,0,0,1,0,0,APRT deficiency: low-purine diet + hydration; nephrolithiasis prevention (allopurinol adjunct),S2,Adapted dietary management.  Prevention of recurrent nephrolithiasis. Renal protection strategies.,S2 utility explicit: adapted dietary management + nephrolithiasis prevention,FALSE,FALSE,Tubulopathies
AQP2,1,1,0,0,1,0,0,auto-assigned by keyword matching,S2,Prevention of severe dehydration,,FALSE,FALSE,Tubulopathies
ARHGAP24,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
ARHGDIA,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
ARL13B,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
ARL3,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
ARL6,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
ARMC9,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
ATP6V0A4,1,0,0,0,0,1,0,dRTA (ATP6V0A4): sensorineural hearing loss surveillance,S2,Early detection and treatment of Sensorineural hearing loss,S2 utility explicit: Early detection and treatment of Sensorineural hearing loss,TRUE,FALSE,Tubulopathies
ATP6V1B1,1,0,0,0,0,1,0,dRTA (ATP6V1B1): sensorineural hearing loss surveillance,S2,Early detection and treatment of Sensorineural hearing loss,S2 utility explicit: Early detection and treatment of Sensorineural hearing loss,TRUE,FALSE,Tubulopathies
AVIL,1,1,0,1,0,0,0,AR SRNS: avoid IS (hereditary glomerulopathy),S1,Renal protection strategies. Adequation of treatment and follow-up,"S1 generic utility; avoid IS per Knoers p.245; ultra-rare, no established extrarenal",FALSE,FALSE,Glomerulopathies
AVPR2,1,1,0,0,1,0,0,X-linked NDI: prevention of severe dehydration and life-threatening hypernatremia,S2,"Prevention of severe dehydration
Identification of females carriers | Identification of females carriers",S2 utility explicit: Prevention of severe dehydration; Identification of females carriers,TRUE,FALSE,Tubulopathies
B9D1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
B9D2,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
BBIP1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
BBS1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
BBS10,1,0,0,0,0,1,0,"BBS: retinal dystrophy, obesity, endocrine surveillance",S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; BBS extrarenal features from OMIM/GeneReviews,TRUE,FALSE,Ciliopathies
BBS12,1,0,0,0,0,1,0,"BBS: retinal dystrophy, obesity, endocrine surveillance",S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; BBS extrarenal features from OMIM/GeneReviews,TRUE,FALSE,Ciliopathies
BBS2,1,0,0,0,0,1,0,"BBS: retinal dystrophy, obesity, endocrine surveillance",S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; BBS extrarenal features from OMIM/GeneReviews,TRUE,FALSE,Ciliopathies
BBS4,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
BBS5,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
BBS7,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
BBS9,1,0,0,0,0,1,0,"BBS: retinal dystrophy, obesity, endocrine surveillance",S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; BBS extrarenal features from OMIM/GeneReviews,TRUE,FALSE,Ciliopathies
BICC1,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
BSND,1,1,0,0,1,1,0,Bartter type 4: renal protection/electrolyte management; hearing surveillance,S2,"Renal protection strategies
Early detection and treatment of Sensorineural hearing loss",S2 utility explicit: renal protection + hearing,FALSE,FALSE,Tubulopathies
C2CD3,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
C3,1,1,1,0,0,0,1,aHUS/C3G: complement inhibitor therapy (eculizumab); post-transplant recurrence risk,S3,,S3 utility blank for C3; CFH row names complement inhibitors; paper p.247 confirms for all complement genes,TRUE,FALSE,Complement disorders
C8orf37,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
CA2,0,0,0,0,0,0,0,,S2,,,FALSE,FALSE,Tubulopathies
CASR,1,1,0,1,0,0,0,FHH/ADH: avoid unnecessary parathyroidectomy; diagnostic reclass from primary hyperPTH,S2,Differential diagnosis with Hyperparathyroidism (avoid unnecessary surgery),S2 utility explicit: Differential diagnosis with Hyperparathyroidism (avoid unnecessary surgery),TRUE,FALSE,Tubulopathies
CC2D2A,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
CD151,1,1,0,1,0,1,0,Integrin-associated NS: avoid IS; hearing + skin (epidermolysis bullosa) surveillance,S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 609057,FALSE,FALSE,Glomerulopathies
CD2AP,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
CD46,0,0,0,0,0,0,0,,S3,,,FALSE,FALSE,Complement disorders
CD46-AAGGT,0,0,0,0,0,0,0,,S3,,,FALSE,FALSE,Complement disorders
CD46-GGAAC,0,0,0,0,0,0,0,,S3,,,FALSE,FALSE,Complement disorders
CEP104,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
CEP120,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
CEP164,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
CEP19,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
CEP290,1,0,0,0,0,1,0,"CEP290/Joubert: retinal, hepatic, CNS surveillance",S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; Joubert extrarenal features well-established,TRUE,FALSE,Ciliopathies
CEP41,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
CEP83,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
CFB,0,0,0,0,0,0,0,,S3,,,FALSE,FALSE,Complement disorders
CFH,1,1,1,0,0,0,1,aHUS: complement inhibitor therapy; post-transplant recurrence; confirm diagnosis/prognosis,S3,"Confirm diagnosis, predict long-term outcome, response to therapies and the risk of relapses after discontinuation.  Predict risk of recurrence in the graft | Choice of treatment strategies (immunosuppression vs complement inhibitors).
Identify subjects at risk of disease within families","S3 utility explicit: complement inhibitors, graft recurrence",TRUE,FALSE,Complement disorders
CFH-H1,0,0,0,0,0,0,0,,S3,,,FALSE,FALSE,Complement disorders
CFH-H3,0,0,0,0,0,0,0,,S3,,,FALSE,FALSE,Complement disorders
CFHR1-R4 del,0,0,0,0,0,0,0,,S3,,,FALSE,FALSE,Complement disorders
CFHR3-R1 del,0,0,0,0,0,0,0,,S3,,,FALSE,FALSE,Complement disorders
CFI,0,0,0,0,0,0,0,,S3,,,FALSE,FALSE,Complement disorders
CHD1L,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
CHD7,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
CHRM3,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
CLCN5,1,1,0,0,1,0,0,Dent disease 1: renal protection; nephrolithiasis prevention,S2,"Identification of females carriers
Renal protection strategies Prevention of recurrent nephrolithiasis/nephrocalcinois",S2 utility: renal protection + nephrolithiasis prevention,TRUE,FALSE,Tubulopathies
CLCNKA,1,1,0,0,1,1,0,Bartter type 4A: renal protection; hearing surveillance,S2,"Renal protection strategies
Early detection and treatment of Sensorineural hearing loss",S2 utility explicit: renal protection + hearing,FALSE,FALSE,Tubulopathies
CLCNKB,1,1,0,0,1,1,0,Bartter type 3: renal protection; nephrolithiasis prevention; hearing screening (some overlap with type 4),S2,"Renal protection strategies
Prevention of recurrent nephrolithiasis/nephrocalcinois | Renal protection strategies
Early detection and treatment of Sensorineural hearing loss",S2 utility: renal protection + nephrolithiasis. Hearing for overlap phenotypes,TRUE,FALSE,Tubulopathies
CLDN10,0,0,0,0,0,0,0,,S2,,,FALSE,FALSE,Tubulopathies
CLDN16,1,1,0,0,1,1,0,FHHNC: renal protection; nephrolithiasis prevention; ocular/dental surveillance (CLDN19 overlap),S2,"Renal protection strategies 
Prevention of recurrent nephrolithiasis/nephrocalcinois
Correlation between de type of mutation and GFR decline
Dental survey and treatment",S2 utility: renal protection + nephrolithiasis + dental,TRUE,FALSE,Tubulopathies
CLDN19,1,1,0,0,1,1,0,FHHNC: renal protection; nephrolithiasis prevention; ophthalmologic/dental surveillance,S2,"Renal protection strategies
Prevention of recurrent nephrolithiasis/nephrocalcinois Dental survey and treatment  Ophtalmologic screening",S2 utility explicit: renal protection + nephrolithiasis + ophthal + dental,TRUE,FALSE,Tubulopathies
CNNM2,0,0,0,0,0,0,0,,S2,,,FALSE,FALSE,Tubulopathies
COL4A1,1,0,0,0,0,1,0,COL4A1: cerebrovascular (porencephaly/stroke) + ocular surveillance,,,Extension gene; extrarenal from OMIM,TRUE,FALSE,
COL4A3,1,1,1,1,1,1,1,Alport: RAS inhibition; avoid immunosuppression; audiometry and ophthalmology surveillance; donor screening; anti-GBM risk post-transplant; clarifies working diagnosis in MPGN/FSGS,S1,Renal protection strategies. Adequation of treatment and follow-up,S1 utility generic; categories from paper body pp.243-246; targeted_drug flagged for RAS inhibition (see methods §5 caveat),TRUE,FALSE,Glomerulopathies
COL4A4,1,1,1,1,1,1,1,Alport: RAS inhibition; avoid immunosuppression; audiometry and ophthalmology surveillance; donor screening; anti-GBM risk post-transplant; clarifies working diagnosis in MPGN/FSGS,S1,,S1 utility blank; categories from paper body pp.243-246; targeted_drug flagged for RAS inhibition (see methods §5 caveat),TRUE,FALSE,Glomerulopathies
COL4A5,1,1,1,1,1,1,1,X-linked Alport: RAS inhibition; avoid immunosuppression; audiometry and ophthalmology surveillance; donor screening; anti-GBM risk post-transplant; clarifies working diagnosis in MPGN/FSGS,S1,,S1 utility blank; categories from paper body pp.243-246; targeted_drug flagged for RAS inhibition (see methods §5 caveat),TRUE,FALSE,Glomerulopathies
COL4A6,0,0,0,0,0,0,0,COL4A6 not independently nephropathy-causative; contiguous COL4A5-COL4A6 deletions managed as Alport,S1,,Standalone COL4A6 variants do not cause nephropathy; only causative as COL4A5 contiguous deletion,TRUE,FALSE,Glomerulopathies
COQ2,1,1,1,0,1,0,0,CoQ10 supplementation; renal protection,S1,CoQ10 supplementation. Renal protection strategies. Adequation of treatment and follow-up,S1 utility explicit: CoQ10 + renal protection,FALSE,FALSE,Glomerulopathies
COQ6,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
COQ8B,1,1,1,0,0,0,0,CoQ10 supplementation (CoQ biosynthesis pathway); same as COQ2/COQ6/PDSS2,S1,,S1 utility blank for COQ8B but COQ2 row lists CoQ10; paper p.245-246 confirms,TRUE,FALSE,Glomerulopathies
CPLANE1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
CRB2,1,1,0,1,0,0,0,AR SRNS: avoid IS (hereditary glomerulopathy),S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; no consistent extrarenal,FALSE,FALSE,Glomerulopathies
CSPP1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
CTNS,1,1,1,0,0,1,0,Cystinosis: cysteamine therapy; ophthalmologic/thyroid/endocrine surveillance,S2,Renal protection strategies. Specific treatment. Adequation of support treatment and follow-up,S2 utility: 'Specific treatment'; extrarenal from GeneReviews/OMIM,TRUE,FALSE,Tubulopathies
CUBN,0,0,0,0,0,0,0,"Imerslund-Grasbeck: proteinuria is benign; B12 supplementation is for hematologic phenotype, not renal",S1,,"Renal finding (proteinuria) does not require treatment; B12 is for megaloblastic anemia, typically already known",TRUE,FALSE,Glomerulopathies
CUL3,1,1,1,0,1,0,0,auto-assigned by keyword matching,S2,Specific treatment. Prevention of hypertension complications,,FALSE,FALSE,Tubulopathies
CUL7,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
CYP24A1,1,1,0,0,1,0,0,Infantile hypercalcemia: nephrolithiasis/nephrocalcinosis prevention,S2,Prevention of recurrent nephrolithiasis/nephrocalcinois,S2 utility explicit: Prevention of recurrent nephrolithiasis/nephrocalcinosis,TRUE,FALSE,Tubulopathies
DCDC2,0,0,0,0,0,0,0,"NPHP-related ciliopathy (DCDC2): ultra-rare, limited clinical data, no established extrarenal surveillance protocol",S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; very few reported cases; insufficient evidence for specific clinical impact category,TRUE,FALSE,Ciliopathies
DDX59,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
DGKE,0,0,0,0,0,0,0,,S1;S3,,,FALSE,FALSE,Glomerulopathies;Complement disorders
DIS3L2,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
DLC1,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
DNAJB11,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
DNASE1,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
DYNC2H1,1,0,0,0,0,1,0,SRTD: skeletal/respiratory surveillance,,,Extension gene; established syndromic features,TRUE,FALSE,
DZIP1L,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
EGF,0,0,0,0,0,0,0,,S2,,,FALSE,FALSE,Tubulopathies
EHHADH,0,0,0,0,0,0,0,,S2,Adequation of treatment and follow-up,,FALSE,FALSE,Tubulopathies
EMP2,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
EYA1,1,0,0,0,0,1,0,BOR syndrome: hearing screening,S4,"earing screening, adequation of treatment and follow up
genetic counseling",S4 utility: earing screening,TRUE,FALSE,CAKUT
FAH,1,1,1,0,1,0,0,Tyrosinemia type 1: nitisinone (NTBC); dietary tyrosine/phenylalanine restriction,S2,Specific treatment. Adapted dietary management. Renal protection strategies. Adequation of treatment and follow-up,S2 utility explicit: specific treatment + adapted dietary management,FALSE,FALSE,Tubulopathies
FAM149B1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
FAM20A,1,1,0,0,1,1,0,auto-assigned by keyword matching,S2,"Prevention of recurrent nephrolithiasis/nephrocalcinois 
Dental survey and treatment",,FALSE,FALSE,Tubulopathies
FAM58A,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
FAN1,0,0,0,0,0,0,0,Karyomegalic nephropathy: no gene-specific therapy; no established extrarenal surveillance,S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; FAN1 causes isolated progressive TIN without consistent syndromic features,TRUE,FALSE,Ciliopathies
FANCI,1,0,0,0,0,1,0,"Fanconi anemia: cancer predisposition surveillance (hematologic, solid tumors)",,,Extension gene; FANCI is FA complementation group; tumor surveillance indicated,TRUE,FALSE,
FAT4,1,0,0,0,0,1,0,auto-assigned by keyword matching,S4,"earing screening, adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
FGA,1,0,0,0,0,0,1,Hereditary fibrinogen amyloidosis: reclass from AL amyloidosis; combined liver-kidney Tx consideration,,,Extension gene; transplant management well-established for FGA amyloidosis,TRUE,FALSE,
FGF20,0,0,0,0,0,0,0,,S4,genetic counseling,,FALSE,FALSE,CAKUT
FGF23,1,1,0,0,1,0,0,"ADHR: phosphate supplementation, active vitamin D",,,Extension gene; supportive/dietary management established,TRUE,FALSE,
FLCN,1,0,0,0,0,1,0,BHD: renal tumor + pneumothorax surveillance,,,Extension gene; established surveillance protocols,TRUE,FALSE,
FN1,1,0,0,0,0,0,1,Fibronectin GN: reclass from other GN; donor screening (AD),,,Extension gene; limited evidence but reclass and donor implications present,TRUE,FALSE,
FOXI1,1,0,0,0,0,1,0,auto-assigned by keyword matching,S2,Early detection and treatment of Sensorineural hearing loss,,FALSE,FALSE,Tubulopathies
FRAS1,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
FREM1,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
FREM2,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
FXYD2,1,1,0,0,1,0,0,auto-assigned by keyword matching,S2,prevention of hypomagnesemia complications,,FALSE,FALSE,Tubulopathies
G6PC,1,1,0,0,1,0,0,GSD-1a: continuous glucose dietary management; renal protection,S2,Adapted dietary management. Renal protection strategies. Adequation of treatment and follow-up,S2 utility explicit: adapted dietary management + renal protection,FALSE,FALSE,Tubulopathies
GANAB,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
GAPVD1,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
GATA3,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
GATM,0,0,0,0,0,0,0,GATM renal phenotype not well-established; creatine supplementation is for neurological phenotype,S2,"
Renal protection strategies. Adequation of treatment and follow-up",S2 utility generic; renal-specific benefit does not meet threshold,FALSE,FALSE,Tubulopathies
GDF6,0,0,0,0,0,0,0,,S4,genetic counseling,,FALSE,FALSE,CAKUT
GLA,1,1,1,0,0,1,0,Fabry: ERT (agalsidase)/migalastat; cardiac/neuro/ocular surveillance; reclass from idiopathic FSGS,,,Extension gene; targeted therapy + extrarenal well-established; Knoers Table 2 p.242 reclass,TRUE,FALSE,
GLI3,0,0,0,0,0,0,0,"Pallister-Hall/Greig: structural anomalies (polydactyly, hypothalamic hamartoma) are congenital, not progressive; no ongoing surveillance protocol changed by renal genetics diagnosis",S4,"adequation of treatment and follow up
genetic counseling",S4 utility generic; congenital anomalies typically detected before genetic diagnosis; no new surveillance triggered,TRUE,FALSE,CAKUT
GLIS2,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
GNA11,1,1,0,1,1,0,0,ADH2/FHH: avoid unnecessary parathyroidectomy; nephrolithiasis prevention; reclass from primary hyperPTH,S2,Differential diagnosis with Hyperparathyroidism (avoid unnecessary surgery) | Prevention of recurrent nephrolithiasis/nephrocalcinois,S2 utility explicit: differential dx with hyperPTH + nephrolithiasis,FALSE,FALSE,Tubulopathies
GPC3,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
GREB1L,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
GRHPR,1,1,0,0,1,0,0,PH2: dietary management; nephrolithiasis prevention,S2,"Adapted dietary management. Renal protection strategies.
Prevention of recurrent nephrolithiasis/nephrocalcinois",S2 utility explicit: adapted dietary management + nephrolithiasis,TRUE,FALSE,Tubulopathies
GRIP1,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
HNF1B,1,0,0,0,0,1,1,HNF1B: diabetes/liver/pancreas screening; donor screening (AD); clarifies working diagnosis in ADPKD phenocopy,S2;S4;S5,"Renal protection strategies | diabetes screening
adequation of treatment and follow up
genetic counseling | adequation of treatment follow up
genetic counseling",S2/S4/S5; diabetes screening in S4; paper Table 2 p.242 reclass; paper p.243 donor,TRUE,FALSE,Tubulopathies;CAKUT;Ciliopathies
HOGA1,1,1,0,0,1,0,0,PH3: dietary management; nephrolithiasis prevention,S2,"Adapted dietary management. Renal protection strategies.
Prevention of recurrent nephrolithiasis/nephrocalcinois",S2 utility explicit: adapted dietary management + nephrolithiasis prevention,FALSE,FALSE,Tubulopathies
HPRT1,1,1,0,0,1,0,0,auto-assigned by keyword matching,S2,Adapted dietary management. Prevention of recurrent nephrolithiasis,,FALSE,FALSE,Tubulopathies
HPSE2,0,0,0,0,0,0,0,,S4,"adequation of treatment and follow up
genetic counseling",,FALSE,FALSE,CAKUT
HS2ST1,0,0,0,0,0,0,0,,S4,genetic ounseling,,FALSE,FALSE,CAKUT
IFT140,1,0,0,0,0,1,0,IFT140: retinal/skeletal surveillance; reclass from atypical ADPKD,,,Extension gene; Knoers paper does not cover but UKKA/Genomics England include; IFT140 now recognized ADPKD mimic,TRUE,FALSE,
IFT172,1,0,0,0,0,1,0,IFT172: retinal/skeletal surveillance (Mainzer-Saldino / SRTD),S5,"adequation of treatment follow up
genetic counseling",S5 utility generic; extrarenal from OMIM,TRUE,FALSE,Ciliopathies
IFT27,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
IFT57,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
IFT74,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
INF2,1,1,0,1,1,0,1,AD FSGS: avoid IS; RAS inhibition/nephroprotection; donor screening (AD),S1,Renal protection strategies. Adequation of treatment and follow-up,S1 utility generic; categories from paper body p.245,TRUE,FALSE,Glomerulopathies
INPP5E,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
INVS,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
IQCB1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
ITGA3,1,1,0,1,0,1,0,Congenital NS: avoid IS; pulmonary (ILD) + skin surveillance,S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 614748,FALSE,FALSE,Glomerulopathies
ITGA8,0,0,0,0,0,0,0,CAKUT gene: no gene-directed intervention and no defined extrarenal surveillance protocol,S4,genetic counseling,S4 utility text is the exclusion phrase; no qualifying action identified,TRUE,FALSE,CAKUT
ITGB4,1,1,0,1,0,1,0,Junctional EB + NS: avoid IS; skin + GI (pyloric atresia) surveillance,S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per p.245; extrarenal from OMIM 226730,FALSE,FALSE,Glomerulopathies
ITSN1,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
ITSN2,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
JAG1,1,0,0,0,0,1,0,Alagille syndrome: hepatic/cardiac/ocular/vertebral surveillance,S4,"adequation of treatment and follow up
genetic counseling",S4 utility generic; extrarenal from OMIM/GeneReviews,TRUE,FALSE,CAKUT
KANK1,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
KANK2,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
